,fluorophore,site,sample.type,substrate,replicate,slope,int,slope.se,int.se,pval,rsq,n,calib.slope,v0,v0.se
1,AMC,third creek,filter,Arg-AMC,1,8190.853333,101241.89,NA,NA,NA,1,2,1319.04424,6.20968811,NA
2,AMC,third creek,filter,Arg-AMC,2,6196.52,102749.95,NA,NA,NA,1,2,1319.04424,4.697734778,NA
3,AMC,third creek,filter,Arg-AMC,3,6575.604545,109181.27,NA,NA,NA,1,2,1319.04424,4.98512813,NA
4,AMC,third creek,filter,Arg-AMC,k,-971.8933333,92202.28,NA,NA,NA,1,2,1319.04424,-0.736816328,NA
5,AMC,third creek,filter,Leu-AMC,2,9084.763636,111613.45,NA,NA,NA,1,2,1319.04424,6.887383577,NA
6,AMC,third creek,filter,Leu-AMC,3,8958.533333,101231.03,NA,NA,NA,1,2,1319.04424,6.791685269,NA
7,AMC,third creek,filter,Leu-AMC,k,366.1956522,97391.92,NA,NA,NA,1,2,1319.04424,0.277621964,NA
8,AMC,third creek,filter,GGR-AMC,2,15965.18667,216741.82,NA,NA,NA,1,2,1319.04424,12.10360213,NA
9,AMC,third creek,filter,Gly-AMC,1,3957.626667,161617.56,NA,NA,NA,1,2,1319.04424,3.000374473,NA
10,AMC,third creek,filter,Gly-AMC,2,1981.48,163434.76,NA,NA,NA,1,2,1319.04424,1.502208902,NA
11,AMC,third creek,filter,Gly-AMC,3,2302.133333,158915.78,NA,NA,NA,1,2,1319.04424,1.74530411,NA
12,AMC,third creek,filter,Gly-AMC,k,-2563.92,158953.4,NA,NA,NA,1,2,1319.04424,-1.943771044,NA
13,AMC,third creek,filter,Pyr-AMC,2,-2411.7,150649.64,NA,NA,NA,1,2,1319.04424,-1.828369305,NA
14,AMC,third creek,filter,Pyr-AMC,3,-2010.52,149762.34,NA,NA,NA,1,2,1319.04424,-1.524224843,NA
15,AMC,third creek,filter,Pyr-AMC,k,-1158.853333,148033.81,NA,NA,NA,1,2,1319.04424,-0.878555319,NA
16,AMC,third creek,filter,GGR-AMC,1,15533.3087,213563.56,NA,NA,NA,1,2,1319.04424,11.77618477,NA
17,AMC,third creek,filter,Leu-AMC,1,9237.986667,111929.59,NA,NA,NA,1,2,1319.04424,7.003545739,NA
18,AMC,third creek,filter,GGR-AMC,3,17070.93913,214580.37,NA,NA,NA,1,2,1319.04424,12.94190036,NA
19,AMC,third creek,filter,GGR-AMC,k,-3764.713043,205520.93,NA,NA,NA,1,2,1319.04424,-2.854121893,NA
20,AMC,third creek,filter,Pyr-AMC,1,-3050.213333,168789.17,NA,NA,NA,1,2,1319.04424,-2.312442025,NA
