fi,max.em,abs254,HIX,BIX,Fresh,site,site
1.46E+00,4.53E+02,8.87E-02,7.00E-01,5.81E-01,5.94E-01,front pond,front pond
1.46E+00,4.53E+02,4.37E-01,7.34E-01,5.96E-01,6.01E-01,briscoe swamp,briscoe swamp
1.41E+00,4.55E+02,4.40E-01,7.88E-01,4.81E-01,4.79E-01,bb1,bb1
1.48E+00,4.55E+02,3.73E-01,7.99E-01,4.76E-01,4.72E-01,bb2,bb2
1.60E+00,4.48E+02,2.04E-01,6.29E-01,6.87E-01,7.04E-01,victor ashe,victor ashe
1.73E+00,4.55E+02,9.50E-03,6.22E-01,7.73E-01,7.95E-01,third creek,third creek
1.56E+00,4.50E+02,2.81E-02,6.39E-01,7.10E-01,7.22E-01,clinton city park,clinton city park
1.60E+00,4.50E+02,3.37E-02,5.60E-01,7.80E-01,7.96E-01,clinch river,clinch river
1.57E+00,4.55E+02,5.57E-02,6.24E-01,6.98E-01,7.12E-01,cove lake,cove lake
1.58E+00,4.58E+02,1.70E-02,5.13E-01,7.70E-01,7.86E-01,norris dam,norris dam
1.54E+00,4.50E+02,3.06E-02,6.64E-01,6.63E-01,6.63E-01,volunteer landing,volunteer landing
1.71E+00,4.50E+02,3.48E-02,5.31E-01,7.89E-01,8.18E-01,second creek,second creek
1.58E+00,4.53E+02,3.87E-02,5.68E-01,7.83E-01,7.87E-01,anchor down,anchor down
1.54E+00,4.55E+02,2.98E-02,6.75E-01,6.72E-01,6.84E-01,douglas dam,douglas dam
1.58E+00,4.48E+02,1.63E-01,4.62E-01,8.48E-01,8.71E-01,chilowee park,chilowee park
1.55E+00,4.53E+02,3.22E-02,6.28E-01,7.16E-01,7.33E-01,holston hills park,holston hills park
1.49E+00,4.48E+02,6.50E-03,4.14E-01,9.21E-01,9.28E-01,fort dickerson,fort dickerson
1.52E+00,4.50E+02,6.31E-02,4.48E-01,8.73E-01,8.96E-01,ut med pond,ut med pond
1.62E+00,4.55E+02,1.66E-02,5.84E-01,8.82E-01,9.01E-01,cherokee reservoir,cherokee reservoir
1.73E+00,4.50E+02,7.58E-03,4.78E-01,8.54E-01,8.54E-01,mossy spring,mossy spring
1.41E+00,4.55E+02,3.53E-02,8.42E-01,5.04E-01,5.01E-01,little river,little river
1.40E+00,4.60E+02,3.87E-02,9.06E-01,5.11E-01,5.14E-01,west prong,west prong
1.58E+00,4.53E+02,6.86E-02,4.20E-01,7.82E-01,8.02E-01,tyson park,tyson park
1.51E+00,4.53E+02,3.12E-02,6.44E-01,6.96E-01,7.01E-01,sequoyah hills,sequoyah hills
1.43E+00,4.55E+02,1.21E-01,6.65E-01,6.74E-01,6.83E-01,fish pond,fish pond
1.67E+00,4.50E+02,2.95E-02,6.64E-01,6.83E-01,7.11E-01,meads quarry ,meads quarry 
1.69E+00,4.53E+02,4.48E-03,6.47E-01,7.09E-01,7.14E-01,wempler kieth,wempler kieth
1.60E+00,4.53E+02,2.19E-02,6.15E-01,7.54E-01,7.70E-01,telico lake,telico lake
1.63E+00,4.53E+02,1.36E-02,5.03E-01,7.35E-01,7.51E-01,ten mile,ten mile
1.85E+00,4.55E+02,-1.39E-03,6.27E-01,7.63E-01,7.59E-01,sinking creek ,sinking creek 
