treatment ,substrate,volume.ul,rfu,time,date,day,exp.time,exp.date
A,AMC,0,1399.99,11:09,2/8/17,1,11:22,2/8/17
A,AMC,20,310064.87,11:10,2/8/17,1,11:22,2/8/17
A,AMC,40,642387.93,11:10,2/8/17,1,11:22,2/8/17
A,AMC,60,1019081.18,11:11,2/8/17,1,11:22,2/8/17
A,AMC,80,1433029.37,11:11,2/8/17,1,11:22,2/8/17
A,AMC,100,2041723.75,11:12,2/8/17,1,11:22,2/8/17
B,AMC,0,1413.34,11:02,2/9/17,2,10:44,2/9/17
B,AMC,20,239752.71,11:03,2/9/17,2,10:44,2/9/17
B,AMC,40,540022.37,11:03,2/9/17,2,10:44,2/9/17
B,AMC,60,777898.43,11:03,2/9/17,2,10:44,2/9/17
B,AMC,80,1201576.62,11:04,2/9/17,2,10:44,2/9/17
B,AMC,100,2209926.25,11:04,2/9/17,2,10:44,2/9/17
C,AMC,0,2170.499,11:49,2/10/17,3,11:32,2/10/17
C,AMC,20,263181.93,11:49,2/10/17,3,11:32,2/10/17
C,AMC,40,555943.18,11:50,2/10/17,3,11:32,2/10/17
C,AMC,60,923520.62,11:50,2/10/17,3,11:32,2/10/17
C,AMC,80,1290798.62,11:50,2/10/17,3,11:32,2/10/17
C,AMC,100,1831353.87,11:52,2/10/17,3,11:32,2/10/17
D,AMC,0,1327.39,10:22,2/13/17,6,10:08,2/13/17
D,AMC,20,282441.81,10:23,2/13/17,6,10:08,2/13/17
D,AMC,40,596369.43,10:23,2/13/17,6,10:08,2/13/17
D,AMC,60,955063.81,10:23,2/13/17,6,10:08,2/13/17
D,AMC,80,1356977.62,10:23,2/13/17,6,10:08,2/13/17
D,AMC,100,1817964.37,10:23,2/13/17,6,10:08,2/13/17
E,AMC,0,1352.12,10:11,2/15/17,8,9:58,2/15/17
E,AMC,20,270408.87,10:11,2/15/17,8,9:58,2/15/17
E,AMC,40,555282.93,10:11,2/15/17,8,9:58,2/15/17
E,AMC,60,906874.68,10:11,2/15/17,8,9:58,2/15/17
E,AMC,80,1244396.75,10:11,2/15/17,8,9:58,2/15/17
E,AMC,100,1891573.25,10:11,2/15/17,8,9:58,2/15/17
F,AMC,0,1456.09,10:47,2/20/17,13,11:01,2/20/17
F,AMC,20,299977,10:47,2/20/17,13,11:01,2/20/17
F,AMC,40,720650.68,10:47,2/20/17,13,11:01,2/20/17
F,AMC,60,1007860.93,10:48,2/20/17,13,11:01,2/20/17
F,AMC,80,1419897,10:48,2/20/17,13,11:01,2/20/17
F,AMC,100,1798459.5,10:48,2/20/17,13,11:01,2/20/17
