treatment,sub,rep,rfu,time,date,day ,exp.time,exp.date,fluorophore
E,1,2,1249.34,13:16,2/9/17,2,10:44,2/9/17,AMC
E,1,2,1250.16,12:53,2/9/17,2,10:44,2/9/17,AMC
E,1,2,1263.67,11:56,2/9/17,2,10:44,2/9/17,AMC
E,1,2,1481.99,10:55,2/9/17,2,10:44,2/9/17,AMC
C,1,1,9107.6,12:29,2/8/17,1,11:22,2/8/17,AMC
B,2,3,9974.64,12:26,2/10/17,3,11:32,2/10/17,AMC
E,3,2,10730.45,10:50,2/13/17,6,10:08,2/13/17,AMC
F,3,3,11114.39,10:35,2/22/17,15,9:41,2/22/17,AMC
C,3,2,12068.89,10:41,2/15/17,8,9:58,2/15/17,AMC
D,3,3,13095.81,10:43,2/15/17,8,9:58,2/15/17,AMC
A,3,3,321659.34,12:08,2/13/17,6,10:08,2/13/17,AMC
A,2,3,14151.43,11:35,2/20/17,13,11:01,2/20/17,AMC
F,2,1,20573.43,11:59,2/9/17,2,10:44,2/9/17,AMC
F,2,1,21289.7,12:57,2/9/17,2,10:44,2/9/17,AMC
F,2,1,21313.36,10:58,2/9/17,2,10:44,2/9/17,AMC
F,2,1,21503.74,13:20,2/9/17,2,10:44,2/9/17,AMC
E,2,3,30636.12,13:16,2/8/17,1,11:22,2/8/17,AMC
F,1,3,31366.88,9:50,2/22/17,15,9:41,2/22/17,AMC
C,2,3,44161.05,10:13,2/13/17,6,10:08,2/13/17,AMC
F,2,2,46639.05,11:00,2/9/17,2,10:44,2/9/17,AMC
F,2,2,47081.18,13:20,2/9/17,2,10:44,2/9/17,AMC
F,2,2,47140.95,11:59,2/9/17,2,10:44,2/9/17,AMC
F,2,2,47612.9,12:57,2/9/17,2,10:44,2/9/17,AMC
C,1,2,47697.93,10:12,2/13/17,6,10:08,2/13/17,AMC
F,1,2,48351.52,11:58,2/9/17,2,10:44,2/9/17,AMC
F,1,2,48352.27,10:58,2/9/17,2,10:44,2/9/17,AMC
F,1,1,48549.05,11:58,2/9/17,2,10:44,2/9/17,AMC
F,1,2,48562.23,12:56,2/9/17,2,10:44,2/9/17,AMC
F,1,2,48638.05,13:19,2/9/17,2,10:44,2/9/17,AMC
F,1,1,49228.83,10:58,2/9/17,2,10:44,2/9/17,AMC
F,1,1,49444.72,12:56,2/9/17,2,10:44,2/9/17,AMC
F,1,1,49865.46,13:19,2/9/17,2,10:44,2/9/17,AMC
C,1,2,50269.79,10:45,2/13/17,6,10:08,2/13/17,AMC
F,2,3,50825.55,12:10,2/8/17,1,11:22,2/8/17,AMC
F,2,3,50836.7,11:36,2/8/17,1,11:22,2/8/17,AMC
F,2,3,51011.21,12:37,2/8/17,1,11:22,2/8/17,AMC
E,1,3,51468.77,10:17,2/13/17,6,10:08,2/13/17,AMC
F,2,3,51954.54,13:19,2/8/17,1,11:22,2/8/17,AMC
E,2,2,52252.75,9:48,2/22/17,15,9:41,2/22/17,AMC
C,1,1,52271.85,10:49,2/9/17,2,10:44,2/9/17,AMC
E,1,3,53101.21,10:49,2/13/17,6,10:08,2/13/17,AMC
E,1,2,53480.29,9:48,2/22/17,15,9:41,2/22/17,AMC
E,1,3,53645.71,11:45,2/10/17,3,11:32,2/10/17,AMC
F,2,2,53847.45,11:36,2/8/17,1,11:22,2/8/17,AMC
F,2,2,54081.28,12:10,2/8/17,1,11:22,2/8/17,AMC
E,1,2,54326.45,10:16,2/13/17,6,10:08,2/13/17,AMC
F,2,2,54384.34,12:37,2/8/17,1,11:22,2/8/17,AMC
C,1,2,54423.49,11:17,2/13/17,6,10:08,2/13/17,AMC
C,2,3,54610.78,10:46,2/13/17,6,10:08,2/13/17,AMC
D,2,1,54718.28,10:53,2/9/17,2,10:44,2/9/17,AMC
C,1,3,54747.73,11:10,2/20/17,13,11:01,2/20/17,AMC
E,1,2,54792.59,10:34,2/22/17,15,9:41,2/22/17,AMC
F,2,1,54892.03,11:36,2/8/17,1,11:22,2/8/17,AMC
F,2,1,54940.81,12:10,2/8/17,1,11:22,2/8/17,AMC
F,2,1,55208,12:37,2/8/17,1,11:22,2/8/17,AMC
F,2,2,55407.28,13:19,2/8/17,1,11:22,2/8/17,AMC
F,1,2,55464.84,10:20,2/13/17,6,10:08,2/13/17,AMC
E,1,2,55939.51,10:49,2/13/17,6,10:08,2/13/17,AMC
F,2,1,56017.11,13:18,2/8/17,1,11:22,2/8/17,AMC
E,1,3,56312.73,11:22,2/13/17,6,10:08,2/13/17,AMC
D,2,2,56363.68,9:46,2/22/17,15,9:41,2/22/17,AMC
C,1,3,56649.03,11:38,2/20/17,13,11:01,2/20/17,AMC
E,2,3,56947.15,9:49,2/22/17,15,9:41,2/22/17,AMC
C,1,3,57484.37,12:04,2/20/17,13,11:01,2/20/17,AMC
B,2,2,57580.86,10:48,2/9/17,2,10:44,2/9/17,AMC
B,2,1,57627.54,10:11,2/13/17,6,10:08,2/13/17,AMC
D,3,1,69913.4,12:31,2/10/17,3,11:32,2/10/17,AMC
D,1,3,58026.86,10:53,2/9/17,2,10:44,2/9/17,AMC
C,1,2,58056.37,10:50,2/9/17,2,10:44,2/9/17,AMC
B,1,2,58487.82,10:47,2/9/17,2,10:44,2/9/17,AMC
D,1,3,58567.37,10:15,2/13/17,6,10:08,2/13/17,AMC
D,1,1,58784.48,11:12,2/20/17,13,11:01,2/20/17,AMC
D,1,1,58903.12,10:14,2/13/17,6,10:08,2/13/17,AMC
E,1,2,59042.66,11:22,2/13/17,6,10:08,2/13/17,AMC
F,1,3,59227.65,10:58,2/9/17,2,10:44,2/9/17,AMC
E,2,3,59357.75,10:17,2/13/17,6,10:08,2/13/17,AMC
C,2,1,59389.21,9:45,2/22/17,15,9:41,2/22/17,AMC
B,1,3,59524.14,10:10,2/13/17,6,10:08,2/13/17,AMC
E,1,2,59741.62,12:16,2/22/17,15,9:41,2/22/17,AMC
C,2,3,60060.7,9:46,2/22/17,15,9:41,2/22/17,AMC
B,1,2,60106.75,9:44,2/22/17,15,9:41,2/22/17,AMC
E,2,1,60177.1,10:17,2/13/17,6,10:08,2/13/17,AMC
C,2,2,60235.98,10:13,2/13/17,6,10:08,2/13/17,AMC
E,3,1,60251.77,12:33,2/10/17,3,11:32,2/10/17,AMC
C,1,2,60257.3,12:10,2/13/17,6,10:08,2/13/17,AMC
D,2,3,60267.82,9:47,2/22/17,15,9:41,2/22/17,AMC
D,2,3,60349.47,10:16,2/13/17,6,10:08,2/13/17,AMC
E,1,1,60467.85,10:55,2/9/17,2,10:44,2/9/17,AMC
