"","fluorophore","site","sample.type","substrate","replicate","slope","int","slope.se","int.se","pval","rsq","n","calib.slope","v0","v0.se"
"1","AMC","third creek","filter","Arg-AMC","1",8190.85333333333,101241.89,NA,NA,NA,1,2,1319.04424,6.20968810972809,NA
"2","AMC","third creek","filter","Arg-AMC","2",6196.52000000002,102749.95,NA,NA,NA,1,2,1319.04424,4.69773477802384,NA
"3","AMC","third creek","filter","Arg-AMC","3",6575.60454545457,109181.27,NA,NA,NA,1,2,1319.04424,4.98512812993639,NA
"4","AMC","third creek","filter","Arg-AMC","k",-971.893333333315,92202.28,NA,NA,NA,1,2,1319.04424,-0.736816327959792,NA
"5","AMC","third creek","filter","Leu-AMC","2",9084.76363636366,111613.45,NA,NA,NA,1,2,1319.04424,6.88738357734208,NA
"6","AMC","third creek","filter","Leu-AMC","3",8958.53333333332,101231.03,NA,NA,NA,1,2,1319.04424,6.79168526851936,NA
"7","AMC","third creek","filter","Leu-AMC","k",366.195652173902,97391.92,NA,NA,NA,1,2,1319.04424,0.277621963743916,NA
"8","AMC","third creek","filter","GGR-AMC","2",15965.1866666667,216741.82,NA,NA,NA,1,2,1319.04424,12.1036021253288,NA
"9","AMC","third creek","filter","Gly-AMC","1",3957.62666666671,161617.56,NA,NA,NA,1,2,1319.04424,3.00037447316149,NA
"10","AMC","third creek","filter","Gly-AMC","2",1981.48000000004,163434.76,NA,NA,NA,1,2,1319.04424,1.50220890240955,NA
"11","AMC","third creek","filter","Gly-AMC","3",2302.13333333338,158915.78,NA,NA,NA,1,2,1319.04424,1.74530410999208,NA
"12","AMC","third creek","filter","Gly-AMC","k",-2563.91999999997,158953.4,NA,NA,NA,1,2,1319.04424,-1.94377104440407,NA
"13","AMC","third creek","filter","Pyr-AMC","2",-2411.69999999996,150649.64,NA,NA,NA,1,2,1319.04424,-1.82836930473231,NA
"14","AMC","third creek","filter","Pyr-AMC","3",-2010.51999999994,149762.34,NA,NA,NA,1,2,1319.04424,-1.52422484328497,NA
"15","AMC","third creek","filter","Pyr-AMC","k",-1158.85333333325,148033.81,NA,NA,NA,1,2,1319.04424,-0.87855531921602,NA
"16","AMC","third creek","filter","GGR-AMC","1",15533.3086956522,213563.56,NA,NA,NA,1,2,1319.04424,11.7761847742515,NA
"17","AMC","third creek","filter","Leu-AMC","1",9237.98666666667,111929.59,NA,NA,NA,1,2,1319.04424,7.00354573904713,NA
"18","AMC","third creek","filter","GGR-AMC","3",17070.9391304348,214580.37,NA,NA,NA,1,2,1319.04424,12.9419003644903,NA
"19","AMC","third creek","filter","GGR-AMC","k",-3764.71304347821,205520.93,NA,NA,NA,1,2,1319.04424,-2.8541218931961,NA
"20","AMC","third creek","filter","Pyr-AMC","1",-3050.2133333333,168789.17,NA,NA,NA,1,2,1319.04424,-2.31244202494171,NA
"21","AMC","third creek","whole","Gly-AMC","k",-2080.38666666666,159101.85,NA,NA,NA,1,2,1299.144295,-1.60135150088672,NA
"22","AMC","third creek","whole","Arg-AMC","1",8302.80000000004,106098.66,NA,NA,NA,1,2,1299.144295,6.39097599239354,NA
"23","AMC","third creek","whole","Arg-AMC","2",8078.42666666669,104388.93,NA,NA,NA,1,2,1299.144295,6.21826743784969,NA
"24","AMC","third creek","whole","Leu-AMC","k",-750.733333333327,100664.64,NA,NA,NA,1,2,1299.144295,-0.577867551912951,NA
"25","AMC","third creek","whole","Arg-AMC","k",-265.172727272714,93190.26,NA,NA,NA,1,2,1299.144295,-0.204113375468207,NA
"26","AMC","third creek","whole","Gly-AMC","1",5615.81333333339,159081.81,NA,NA,NA,1,2,1299.144295,4.32270176218831,NA
"27","AMC","third creek","whole","Gly-AMC","2",5137.24000000007,164313.85,NA,NA,NA,1,2,1299.144295,3.95432595114468,NA
"28","AMC","third creek","whole","Gly-AMC","3",3701.72,166139.71,NA,NA,NA,1,2,1299.144295,2.84935246550114,NA
"29","AMC","third creek","whole","Pyr-AMC","1",-2998.77333333327,142626.81,NA,NA,NA,1,2,1299.144295,-2.30826809991362,NA
"30","AMC","third creek","whole","Pyr-AMC","2",-1205.62666666663,146196.34,NA,NA,NA,1,2,1299.144295,-0.928015980447057,NA
"31","AMC","third creek","whole","Pyr-AMC","3",-1796.09999999999,150804.65,NA,NA,NA,1,2,1299.144295,-1.38252541069735,NA
"32","AMC","third creek","whole","Pyr-AMC","k",-2934.85333333337,146253.17,NA,NA,NA,1,2,1299.144295,-2.25906648293704,NA
"33","AMC","third creek","whole","Arg-AMC","3",8262.22666666668,105465.64,NA,NA,NA,1,2,1299.144295,6.35974517878068,NA
"34","AMC","third creek","whole","Leu-AMC","1",15892.36,115734.07,NA,NA,NA,1,2,1299.144295,12.2329444551808,NA
"35","AMC","third creek","whole","Leu-AMC","2",16683.9466666667,119777.57,NA,NA,NA,1,2,1299.144295,12.842258347189,NA
"36","AMC","third creek","whole","Leu-AMC","3",15812.4272727273,121215.18,NA,NA,NA,1,2,1299.144295,12.171417242553,NA
"37","AMC","third creek","whole","GGR-AMC","1",21284.9347826087,216420.37,NA,NA,NA,1,2,1299.144295,16.3838111474821,NA
"38","AMC","third creek","whole","GGR-AMC","2",16911.7565217391,211238.42,NA,NA,NA,1,2,1299.144295,13.0176121211687,NA
"39","AMC","third creek","whole","GGR-AMC","3",17396.3866666667,215360.75,NA,NA,NA,1,2,1299.144295,13.3906500868456,NA
"40","AMC","third creek","whole","GGR-AMC","k",-4020.69130434781,180084.06,NA,NA,NA,1,2,1299.144295,-3.09487661980443,NA
"41","AMC","victor ashe","filter","Arg-AMC","1",31301.0086956522,114795.38,NA,NA,NA,1,2,1360.61523,23.0050406650616,NA
"42","AMC","victor ashe","filter","Arg-AMC","2",30292.4478260869,109821.6,NA,NA,NA,1,2,1360.61523,22.263787114956,NA
"43","AMC","victor ashe","filter","Arg-AMC","3",31719.9,116550.09,NA,NA,NA,1,2,1360.61523,23.3129097048252,NA
"44","AMC","victor ashe","filter","Arg-AMC","k",-1134.37826086955,82149.82,NA,NA,NA,1,2,1360.61523,-0.833724506280549,NA
"45","AMC","victor ashe","filter","Leu-AMC","2",84243.4533333334,164476.76,NA,NA,NA,1,2,1360.61523,61.9157065685156,NA
"46","AMC","victor ashe","filter","Leu-AMC","3",82596.5866666667,156422.15,NA,NA,NA,1,2,1360.61523,60.7053227433495,NA
"47","AMC","victor ashe","filter","Leu-AMC","k",-66508.6826086956,94865.59,NA,NA,NA,1,2,1360.61523,-48.8813304027882,NA
"48","AMC","victor ashe","filter","GGR-AMC","2",116179.866666667,289888.75,NA,NA,NA,1,2,1360.61523,85.3877452677542,NA
"49","AMC","victor ashe","filter","Gly-AMC","1",10764,160582.54,NA,NA,NA,1,2,1360.61523,7.91112708623734,NA
"50","AMC","victor ashe","filter","Gly-AMC","2",9864.93913043479,158244.2,NA,NA,NA,1,2,1360.61523,7.25035183564334,NA
"51","AMC","victor ashe","filter","Gly-AMC","3",11282.2434782609,156851.81,NA,NA,NA,1,2,1360.61523,8.29201616261559,NA
"52","AMC","victor ashe","filter","Gly-AMC","k",-3145.77333333328,149634.56,NA,NA,NA,1,2,1360.61523,-2.31202272617019,NA
"53","AMC","victor ashe","filter","Pyr-AMC","2",-1534.36956521741,147222.7,NA,NA,NA,1,2,1360.61523,-1.12770277105998,NA
"54","AMC","victor ashe","filter","Pyr-AMC","3",-3044.42666666664,145353.82,NA,NA,NA,1,2,1360.61523,-2.23753681389164,NA
"55","AMC","victor ashe","filter","Pyr-AMC","k",-3326.06666666661,142076.37,NA,NA,NA,1,2,1360.61523,-2.44453141000532,NA
"56","AMC","victor ashe","filter","GGR-AMC","1",119077.093333333,290564.46,NA,NA,NA,1,2,1360.61523,87.5170957283297,NA
"57","AMC","victor ashe","filter","Leu-AMC","1",85329.5347826087,168378.04,NA,NA,NA,1,2,1360.61523,62.7139347709703,NA
"58","AMC","victor ashe","filter","GGR-AMC","3",118720.891304348,280683.18,NA,NA,NA,1,2,1360.61523,87.2553009011578,NA
"59","AMC","victor ashe","filter","GGR-AMC","k",5610.58666666673,176912.23,NA,NA,NA,1,2,1360.61523,4.1235659743914,NA
"60","AMC","victor ashe","filter","Pyr-AMC","1",-3363.05333333324,145489.36,NA,NA,NA,1,2,1360.61523,-2.47171519117366,NA
"61","AMC","victor ashe","whole","Gly-AMC","k",-3830.15217391302,145231.2,NA,NA,NA,1,2,1292.002825,-2.96450758450394,NA
"62","AMC","victor ashe","whole","Arg-AMC","1",56536.2652173913,129649.35,NA,NA,NA,1,2,1292.002825,43.7586235288544,NA
"63","AMC","victor ashe","whole","Arg-AMC","2",55583.4913043479,126758.13,NA,NA,NA,1,2,1292.002825,43.021184032123,NA
"64","AMC","victor ashe","whole","Leu-AMC","k",-974.478260869573,90774.99,NA,NA,NA,1,2,1292.002825,-0.754238490824951,NA
"65","AMC","victor ashe","whole","Arg-AMC","k",-1477.86521739131,82437.35,NA,NA,NA,1,2,1292.002825,-1.14385602631427,NA
"66","AMC","victor ashe","whole","Gly-AMC","1",33235.1869565217,175553.75,NA,NA,NA,1,2,1292.002825,25.7237726678514,NA
"67","AMC","victor ashe","whole","Gly-AMC","2",31498.0304347827,176074.04,NA,NA,NA,1,2,1292.002825,24.3792272163048,NA
"68","AMC","victor ashe","whole","Gly-AMC","3",32928.0782608695,179561.57,NA,NA,NA,1,2,1292.002825,25.4860729587565,NA
"69","AMC","victor ashe","whole","Pyr-AMC","1",-2297.38666666662,148532.68,NA,NA,NA,1,2,1292.002825,-1.7781591666927,NA
"70","AMC","victor ashe","whole","Pyr-AMC","2",-3034.28,145768.39,NA,NA,NA,1,2,1292.002825,-2.34850879679772,NA
"71","AMC","victor ashe","whole","Pyr-AMC","3",-1513.12173913045,147301.29,NA,NA,NA,1,2,1292.002825,-1.17114429616704,NA
"72","AMC","victor ashe","whole","Pyr-AMC","k",-1999.74666666663,140886.6,NA,NA,NA,1,2,1292.002825,-1.54778815337856,NA
"73","AMC","victor ashe","whole","Arg-AMC","3",56596.1869565218,130904.1,NA,NA,NA,1,2,1292.002825,43.8050024824998,NA
"74","AMC","victor ashe","whole","Leu-AMC","1",284220.286956522,349294.65,NA,NA,NA,1,2,1292.002825,219.984261223672,NA
"75","AMC","victor ashe","whole","Leu-AMC","2",284070.691304348,364364.15,NA,NA,NA,1,2,1292.002825,219.868475368347,NA
"76","AMC","victor ashe","whole","Leu-AMC","3",297749.48,387777.65,NA,NA,NA,1,2,1292.002825,230.45574997098,NA
"77","AMC","victor ashe","whole","GGR-AMC","1",93929.2565217392,302852.5,NA,NA,NA,1,2,1292.002825,72.7005039805073,NA
"78","AMC","victor ashe","whole","GGR-AMC","2",106712.12,279839.37,NA,NA,NA,1,2,1292.002825,82.5943395286307,NA
"79","AMC","victor ashe","whole","GGR-AMC","3",104918.96,282324.56,NA,NA,NA,1,2,1292.002825,81.206447826459,NA
"80","AMC","victor ashe","whole","GGR-AMC","k",-3869.33478260872,164656.75,NA,NA,NA,1,2,1292.002825,-2.9948346147066,NA
"81","MUB","third creek","filter","MUB-gluco","1",436.48695652174,1894.51,NA,NA,NA,1,2,31.367805,13.9151259235939,NA
"82","MUB","third creek","filter","MUB-gluco","2",784.134782608695,2594.25,NA,NA,NA,1,2,31.367805,24.998076295383,NA
"83","MUB","third creek","filter","MUB-gluco","3",1267.58666666667,3490.53,NA,NA,NA,1,2,31.367805,40.4104356892893,NA
"84","MUB","third creek","filter","MUB-gluco","k",-8.59565217391246,1731.11,NA,NA,NA,1,2,31.367805,-0.274027850336116,NA
"85","MUB","third creek","filter","MUB-Phos","1",2562.05333333333,39494.16,NA,NA,NA,1,2,31.367805,81.6778009597206,NA
"86","MUB","third creek","filter","MUB-Phos","2",1099.90666666667,44138.53,NA,NA,NA,1,2,31.367805,35.0648273497833,NA
